sample_id,lon,lat,state,district,event_date,elevation,slope_deg,aspect_sin,aspect_cos,plan_curv,prof_curv,tri,twi,relief_500m,dist_stream_m,dist_road_m,dist_fault_m,lithology,geomorph,lulc,soil_texture,ndvi,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,rain_annual_mean,soil_moist,api,label,label_conf,block_id,split
1187f30a70512014,93.9536,24.777,Manipur,Manipu-D4,,772.2008,22.2747,0.8167,0.577,0.0262,-0.0193,12.5042,8.3927,170.7089,397.3534,234.6603,7677.4414,Limestone,Piedmont slope,Grassland,Sandy clay loam,0.6115,2.972,29.5515,77.4526,182.3875,370.9786,2564.0662,0.1891,66.8473,0,1.0,330010,train
973998f801d0f75b,90.9184,25.6177,Meghalaya,Meghal-D1,,1244.5933,28.0297,0.804,-0.5947,-0.0052,0.0209,15.4557,9.1796,313.0226,94.2769,1973.6324,6481.678,Sandstone-shale,Valley fill,Shrubland,Clay loam,0.4966,2.4275,7.3591,53.6572,173.0503,237.4611,966.476,0.2182,46.1022,0,1.0,190014,test
03717b57d97149de,92.722,23.6679,Mizoram,Mizora-D6,,897.6127,28.3786,0.5795,0.815,0.0065,-0.0007,15.0442,8.4824,218.5226,727.4756,1294.943,6585.948,Alluvium,Structural hill,Forest,Clay loam,0.6537,18.5724,41.2237,95.0288,173.6401,362.1574,2417.5361,0.2386,77.2277,0,1.0,320005,train
4848170105a13d40,93.7772,24.9623,Manipur,Manipu-D7,,1267.2854,13.244,0.7585,0.6517,-0.0074,0.0169,4.5518,10.6646,139.7743,714.7899,181.124,10641.206,Granite,Valley fill,Shrubland,Sandy clay loam,0.6843,48.0103,65.8995,146.6365,298.687,327.6525,2808.9314,0.2608,125.0388,0,1.0,320011,train
cb0396c748297c94,93.2408,27.9087,Arunachal Pradesh,Arunac-D2,2023-06-01,1571.153,54.551,0.6468,0.7627,0.0195,-0.0148,32.6507,4.9265,579.9912,441.4462,1160.456,4479.479,Gneiss,Valley fill,Cropland,Loam,0.628,15.17,43.7185,55.7545,149.0184,242.7737,900.0,0.2178,63.1243,1,0.7,200024,train
485d4ece75bf14ee,91.7056,23.9868,Tripura,Tripur-D4,,79.355,3.3531,-0.9636,-0.2674,-0.0129,0.0105,1.6065,9.6928,20.8569,344.1522,1608.8146,6529.212,Granite,Structural hill,Grassland,Clay loam,0.7542,64.7005,65.9286,162.541,240.4009,337.599,2664.267,0.2825,121.0832,0,1.0,270007,val
2ec29bd5c91b7794,93.4056,24.5961,Manipur,Manipu-D3,,1543.237,24.3106,-0.8172,0.5764,0.0117,-0.0123,11.3471,9.1862,211.2355,651.005,825.7926,7968.4946,Quartzite,Flood plain,Forest,Clay loam,0.9344,7.6408,64.4274,99.0381,280.2117,364.0681,2545.1875,0.2182,107.1782,0,1.0,320009,test
eb83c803176fa952,93.8393,24.7731,Manipur,Manipu-D5,,383.8708,25.3536,-0.3363,0.9418,-0.0037,-0.0022,10.5009,9.3771,285.2612,1101.9803,1357.9723,8967.279,Gneiss,Flood plain,Forest,Loam,0.5977,27.5426,58.7915,94.6091,208.2498,335.6592,2483.9275,0.2669,91.9556,0,1.0,330010,train
813ce7f7c28dd6c2,93.9305,28.06,Arunachal Pradesh,Arunac-D7,,1343.1351,6.5025,0.3931,-0.9195,-0.0096,-0.0008,2.4681,12.6472,74.2248,259.3865,918.7408,8802.262,Phyllite-schist,Piedmont slope,Built-up,Sandy loam,0.7344,162.2979,216.0114,305.1836,330.4512,382.3599,4051.826,0.2671,259.929,0,1.0,230025,train
11b5b8ff4f1b6ea5,90.8718,25.2422,Meghalaya,Meghal-D7,,1412.8577,11.5459,0.3251,0.9457,0.0059,-0.009,3.7065,10.7787,85.2756,133.8569,575.0654,3585.0315,Quartzite,Valley fill,Forest,Silty clay,0.7528,7.6565,101.8308,115.1047,207.3998,364.1264,2317.9988,0.2305,121.6483,0,1.0,190012,train
4eaaec8ef1382473,93.7533,26.0771,Assam,Assam-D4,,44.1295,1.6518,-0.6945,-0.7195,0.0079,-0.0143,0.7464,11.442,15.781,1207.6525,3548.809,4703.961,Sandstone-shale,Valley fill,Built-up,Sandy clay loam,0.7021,33.3398,74.387,154.2848,309.2644,422.454,3084.4443,0.3153,133.5879,0,1.0,280016,train
3616961d92b94af6,92.6856,24.0702,Mizoram,Mizora-D3,,1043.9365,36.0512,0.9548,-0.2972,-0.0051,0.013,10.1102,9.5064,249.9294,304.8774,639.6094,12727.939,Alluvium,Denudational hill,Shrubland,Clay loam,0.4729,13.9491,75.663,89.5876,141.7492,288.9517,1834.5992,0.2182,89.7533,0,1.0,300007,val
3e56a462be65fab9,94.3543,25.7324,Nagaland,Nagala-D1,,1003.4298,7.047,0.9938,-0.1113,0.0019,-0.0174,3.8294,10.9366,75.5134,117.7882,2715.7913,8486.941,Granite,Flood plain,Cropland,Silty clay,0.8696,18.1809,45.0126,78.9791,133.2769,370.7152,1979.2064,0.1898,68.4422,0,1.0,320014,train
6d31510027e1890e,92.686,23.511,Mizoram,Mizora-D2,,608.152,28.0341,-0.7929,-0.6093,0.0333,-0.0102,12.8759,8.0651,186.5356,606.0293,994.8157,12708.656,Alluvium,Piedmont slope,Built-up,Sandy loam,0.481,32.3476,41.8411,59.4815,168.2321,302.62,2220.7427,0.2209,66.0919,0,1.0,320004,train
cc226e3093f5cb41,91.2743,25.6739,Meghalaya,Meghal-D5,,1479.3134,16.4204,-0.6938,0.7202,0.0016,0.0272,4.7158,10.0429,185.8681,1446.4131,427.3752,5519.4946,Granite,Denudational hill,Bare,Sandy clay loam,0.647,9.9676,14.3587,101.8696,272.0032,349.3746,3429.0027,0.2999,79.2586,0,1.0,200014,val
5562fa21543c3101,95.0073,27.9837,Arunachal Pradesh,Arunac-D5,,158.4377,30.3182,-0.6358,-0.7718,-0.0013,-0.0134,13.5129,8.2757,320.4187,414.3556,454.7997,4235.4097,Quartzite,Structural hill,Cropland,Sandy loam,0.4953,10.6192,131.2545,150.6909,231.3267,394.3134,2858.3445,0.1992,152.0962,0,1.0,270024,test
ea78fdb029e69d57,94.8761,26.2014,Nagaland,Nagala-D5,,1118.4713,25.214,-0.359,-0.9333,-0.0253,-0.0061,13.3242,8.2401,221.9287,231.886,1530.2274,12141.942,Sandstone-shale,Denudational hill,Grassland,Sandy clay loam,0.4673,39.8223,100.776,171.9613,338.2543,419.6704,2596.6687,0.2737,157.7533,0,1.0,330016,test
3061d3c2f3bd38e2,94.5741,28.0987,Arunachal Pradesh,Arunac-D4,,2029.8634,16.404,-0.7684,0.64,-0.0209,0.0154,4.5622,8.812,153.5681,289.85,507.2306,13984.662,Alluvium,Piedmont slope,Bare,Silty clay,0.6423,53.3754,67.4426,161.2128,212.1312,241.2842,3854.2656,0.3062,117.277,0,1.0,250025,test
376ed8541880e907,93.0094,23.1389,Mizoram,Mizora-D3,,1320.2645,18.1826,-0.6779,-0.7351,0.0157,0.0155,10.3293,9.8633,164.633,168.116,1422.8185,7326.362,Limestone,Piedmont slope,Cropland,Loam,0.688,27.9992,57.3997,123.186,156.8165,647.2318,2454.6694,0.179,92.0481,0,1.0,340003,test
502ca7d8aab4a419,94.7304,26.1611,Nagaland,Nagala-D5,,1140.6997,15.5983,-0.8217,-0.5699,0.0058,-0.0041,7.3461,8.3822,111.9378,733.4079,910.506,10726.739,Phyllite-schist,Denudational hill,Cropland,Clay loam,0.4676,72.483,87.7464,172.7335,244.0177,378.6924,3175.2554,0.2041,136.6833,0,1.0,320016,train
66442b161de36c65,93.9479,24.5366,Manipur,Manipu-D3,2023-06-28,1158.9607,34.469,-0.9624,-0.2718,0.0227,0.0207,16.127,7.4184,293.9604,283.4046,2060.3308,5957.7812,Phyllite-schist,Denudational hill,Forest,Loam,0.5428,0.1534,23.3858,45.8792,63.5768,117.7315,900.0,0.2,36.1625,1,0.7,340009,train
27e6cddd2fa70f3c,93.7893,26.8222,Assam,Assam-D2,,30.6196,1.7857,0.9882,-0.1534,0.0298,0.0211,0.7149,11.3646,16.4845,377.4255,1180.112,2306.0251,Gneiss,Valley fill,Shrubland,Sandy clay loam,0.7207,22.512,23.2654,40.3268,53.3197,211.584,3266.6904,0.1807,32.892,0,1.0,260019,train
9212f8935f3edec2,91.8248,23.8287,Tripura,Tripur-D5,,235.1673,0.5375,-0.29,0.957,-0.0073,-0.0116,0.2676,11.9013,5.0,177.4341,1384.8546,13173.829,Gneiss,Structural hill,Bare,Silty clay,0.608,8.1159,11.7612,69.2468,137.29,237.4257,3731.2363,0.2817,47.8362,0,1.0,270006,val
1491eb175fde3efd,92.8277,23.19,Mizoram,Mizora-D5,,1150.3849,29.7983,-0.4819,0.8762,-0.0226,0.0145,8.9291,8.5888,185.4575,573.0754,1624.0248,5992.0586,Alluvium,Valley fill,Forest,Sandy loam,0.501,4.14,4.9903,244.862,312.7308,482.1066,3402.86,0.2682,123.1129,0,1.0,330003,test
