sample_id,lon,lat,state,district,event_date,elevation,slope_deg,aspect_sin,aspect_cos,plan_curv,prof_curv,tri,twi,relief_500m,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,api,rain_annual_mean,label,label_conf,loc_accuracy_km,trigger,size,category,fatalities,source,hq_location,block_id,split
59cfc8cc762cc224,88.527,27.478,Sikkim,North Sikkim,2009-07-01,746.3958,5.5678,-0.8042,-0.5943,-0.0078,0.0043,36.6481,14.1082,391.3156,12.9662,67.4974,147.226,202.0828,371.9279,148.0656,2545.4712,1,0.85,1.0,downpour,medium,landslide,0,NASA_GLC,1,10023,train
42f02219a21059e1,94.4822,25.3099,Manipur,Ukhrul,2010-07-29,1496.4982,28.0842,-0.9698,0.2438,-0.0019,1e-04,37.8542,12.8228,345.2398,27.3683,100.3679,130.9986,254.8119,389.7174,169.2596,1518.0431,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,250014,train
fa39470544c8c2c2,88.556,27.8385,Sikkim,North Sikkim,2012-09-19,3831.0469,18.5785,-0.5219,-0.853,-0.0002,0.0004,21.5224,12.7266,443.8833,35.8535,61.0191,144.0715,211.966,364.8764,150.6023,2496.6716,1,0.45,10.0,downpour,large,landslide,20,NASA_GLC,0,10025,train
5832ea6720e739c3,88.605,27.6558,Sikkim,North Sikkim,2012-09-19,1953.2264,14.6874,-0.2851,-0.9585,-0.0004,0.0061,22.8772,12.8025,518.3374,35.8535,61.0191,144.0715,211.966,364.8764,150.6023,2496.6716,1,0.45,10.0,downpour,large,landslide,0,NASA_GLC,0,20024,test
9b229fd26c091009,93.9413,25.7658,Nagaland,Dimapur,2013-07-17,796.4748,34.3963,-0.4467,-0.8947,0.0022,0.0003,43.0369,12.3659,515.276,3.1867,7.5207,80.7575,260.3432,342.0514,117.022,1523.0817,1,0.2,50.0,rain,medium,mudslide,0,NASA_GLC,0,230016,train
35ae45ac9c84082a,94.0885,25.7131,Nagaland,Kohima,2013-07-17,1432.2758,20.4633,-0.4669,-0.8843,-0.0013,-0.0005,26.4762,13.1308,233.3878,3.1867,7.5207,80.7575,260.3432,342.0514,117.022,1523.0817,1,0.2,50.0,rain,medium,mudslide,0,NASA_GLC,0,240016,train
99ec301510ef3287,94.1078,24.1419,Manipur,Chandel,2015-08-01,1183.0114,24.5699,-0.656,-0.7548,0.0006,-0.0015,30.6066,12.9194,208.497,87.5269,125.9941,144.4806,302.9071,388.0046,191.7988,1498.743,1,0.6,5.0,continuous_rain,medium,landslide,0,NASA_GLC,0,240009,train
644b6c8402291933,94.1167,25.616,Nagaland,Kohima,2013-07-12,1563.0743,18.3451,-0.3512,0.9363,-0.0012,0.0004,23.3617,12.6462,337.1058,36.7575,76.4867,137.3862,264.3467,307.6978,163.623,1517.4457,1,0.45,10.0,downpour,medium,landslide,0,NASA_GLC,0,240015,train
ebcb3be65efbaf91,94.1351,25.4769,Manipur,Senapati,2010-10-08,1650.1042,15.8137,-0.7874,0.6165,0.0039,-0.0,22.0482,13.0346,270.9156,35.5651,59.6647,70.1875,157.7706,284.5788,101.4018,1534.025,1,0.6,5.0,downpour,medium,mudslide,0,NASA_GLC,0,240015,train
51fd6bd5b303632a,93.1645,25.5215,Assam,North Cachar Hills,2009-08-20,266.0272,3.807,-0.5413,0.8408,-0.0066,0.0006,6.8533,15.5389,49.9596,2.4427,8.7887,46.9551,117.1976,173.1982,56.6009,1358.4022,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,200015,val
38c17725b6f43ea8,91.2,25.8833,Assam,Kamrup,2010-06-09,221.3135,9.1118,-0.5604,0.8282,0.0003,0.0005,10.8761,14.0497,228.3697,25.5831,65.1817,199.6275,320.0974,465.6732,204.835,1765.9095,1,0.2,50.0,downpour,medium,landslide,0,NASA_GLC,0,120016,train
bed399e53b8b884c,94.0462,25.3179,Manipur,Senapati,2010-10-09,1024.9429,20.1449,0.1359,-0.9907,0.0002,0.0007,23.5702,13.2858,209.5175,28.1382,107.721,120.4043,162.4658,301.1526,138.1676,1512.6017,1,0.6,5.0,downpour,medium,landslide,0,NASA_GLC,0,240014,train
07f2a4d865fe136a,93.4333,24.75,Manipur,Tamenglong,2007-10-21,435.9087,20.2334,-0.0717,0.9974,0.0022,0.0007,25.7325,13.0474,474.2242,24.5871,40.9789,92.8962,133.5858,146.0231,84.5724,1640.2489,1,0.3,25.0,rain,medium,landslide,0,NASA_GLC,0,210011,train
256d963e70da0b7e,91.885,25.5728,Meghalaya,East Khasi Hills,2010-06-28,1505.9484,4.5193,0.8605,0.5094,-0.0071,-0.0003,7.1745,14.8726,42.5,55.8392,144.9385,196.6081,523.0802,605.5562,281.0212,1845.431,1,0.6,5.0,downpour,medium,landslide,1,NASA_GLC,0,150015,train
87407dce58c3fdbf,95.0243,26.7223,Nagaland,Mon,2016-04-19,706.4628,4.1406,0.9999,0.0149,0.0026,-0.0016,13.3631,15.2201,128.2291,37.4786,84.7734,102.7147,319.8246,362.6704,167.4978,2070.655,1,0.85,1.0,continuous_rain,medium,landslide,0,NASA_GLC,1,270020,val
d186a083e0aef6ce,93.4341,24.7625,Manipur,Tamenglong,2013-08-17,597.2443,34.2948,-0.5955,0.8034,0.0026,-0.0006,45.6735,12.5521,394.1477,15.9979,25.7009,134.2057,239.9079,332.217,144.7003,1640.2489,1,0.45,10.0,continuous_rain,medium,landslide,0,NASA_GLC,0,210011,train
49016c9439d0487b,93.816,27.0987,Arunachal Pradesh,Papum Pare,2015-06-09,213.8604,10.8084,0.5873,0.8094,-0.001,-1e-04,11.9739,14.6443,110.1411,28.1567,76.9748,137.2205,263.0141,469.2506,178.9797,2033.2314,1,0.6,5.0,continuous_rain,medium,landslide,2,NASA_GLC,0,230022,train
1a7654451e2262d1,88.6193,27.4459,Sikkim,North Sikkim,2007-04-11,1961.3992,17.2211,-0.9572,-0.2895,0.003,0.0003,22.6839,12.5872,374.6217,0.6559,32.0223,56.8648,105.9235,178.5167,71.0381,2545.4712,1,0.6,5.0,downpour,medium,landslide,0,NASA_GLC,0,20023,test
