feature,gini_importance,perm_importance_mean,perm_importance_std
rain_annual_mean,0.27848216464659187,0.07800000000000004,0.018147543451754924
relief_500m,0.15838704156760783,0.011333333333333384,0.014000000000000012
elevation,0.11826194959604158,0.029333333333333378,0.014360439485691996
tri,0.09112993653112515,0.03800000000000005,0.011944315244779279
twi,0.08575796192629907,0.015333333333333376,0.008969082698049129
slope_deg,0.07626288051613973,0.022666666666666713,0.010413666234542185
aspect_sin,0.05503577032971154,0.013333333333333397,0.0059628479399994406
plan_curv,0.05172932537713551,0.012666666666666715,0.010934146311237824
aspect_cos,0.04693995618272427,0.005333333333333368,0.008844332774281082
prof_curv,0.03801301332662358,0.00666666666666671,0.007888106377466168
