feature,rf_gini_importance,gb_gini_importance,rf_perm_importance_mean,rf_perm_importance_std
relief_500m,0.18855758402910722,0.12967305243061522,0.05918367346938778,0.007960008310874706
rain_annual_mean,0.18781308099651695,0.3241558027438176,0.09552964042759962,0.006899902818270192
elevation,0.155760615476229,0.1771598929164072,0.050534499514091356,0.0077257947188928335
tri,0.09970777357918456,0.09282901570720094,0.0391642371234208,0.007273064039676444
twi,0.08766775116206289,0.049786723642954354,0.007580174927113737,0.0037588104190114015
slope_deg,0.0814518172391461,0.026567392804985376,0.020213799805636555,0.00442790505340896
plan_curv,0.05467250309451263,0.07242639048008744,0.024392614188532558,0.003206997084548117
aspect_cos,0.053068257720056675,0.03849936734850068,0.01982507288629739,0.003940356643870417
aspect_sin,0.04983658582303435,0.04477405756274099,0.022740524781341132,0.0031699720952964128
prof_curv,0.04146403088014972,0.04412830436269014,0.018756073858114685,0.0026094696952570443
