name,lat,lon
"Senki View, Itanagar, Papum Pare, Arunachal Pradesh, India",27.104022,93.61156568
Sunkosh-Dagana rd,27.0502,89.9442
Kurseong,26.8905,88.2789
Beldanga,23.9304,88.2374
Lawngtlai,22.533,92.899
Byrnihat,26.048,91.8695
Arunachal Pradesh,27.1614,93.7525
the state highway which links the rest of the state to eastern Champhai district,23.6866,93.017
"Ishok Chingphu(?), Bishnupur, Assam",25.8833,91.2
Tura,25.5212,90.232
"Bilaipur, Hailakandi district, Assam, India",24.5202,92.7239
"Bop, Sikkim",27.6163,88.6586
"National Rd 318, Lhasa, Tibet",29.4903,90.9352
Sylhet,24.9007,91.8644
"Phagutar near Mahanadi, 12km from Kurseong, Siliguri district, Darjeeling",26.88211522,88.3195318
Tindharia and Rong Tong,26.8342,88.2798
Torrential downpour causes road-blocking lansdlide along NH-2 near Bimparao village,25.06657276,93.9310888
Chittagong,22.3312,91.8252
Sukhiapokhari,26.9978,88.167
 Arunachal Pradesh ,27.8458,95.2253
Dhirenpara,26.1295,91.7056
"Itanagar-Naharlagun, Arunachal Pradesh",27.0998,93.6287
 Botsa  and Chiechama,25.83,94.13
between Maku village and Kamjong sub division,24.9111,94.4759
"Aizawl-Champhai road, Champhai, Mizoram State, India",23.65637182,93.02746602
"Aalo, Itanagar, Papum Pare, Arunachal Pradesh",27.07671517,93.59755441
"A Cachar District village, near village of Srinager, Assam",24.9849,92.8411
"Zembabawk, Aizawl",23.7327,92.7463
National Highway No 44 at Sonarpur in Meghalaya,25.5576,91.8506
"Yakshu, Nagaland",26.4205,94.9731
"Kalimpong, Darjeeling, West Bengal",27.02459801,88.43849551
"Khongsang, Tamenglong, Manipur,",24.9926,93.4946
Kurseong,26.8811,88.2779
Singtam,25.38,91.88
 Purba Satchhari village in Sadar upazila,24.5784,91.7227
"Palin, Kurung Kumey, Arunachal Pradesh",27.6802471,93.62592773
"NH-37, Manipur State, India",24.82767572,93.51825
Hawai,27.8835,96.9262
"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",25.7131,94.0885
"Batase and Sisne villages, Lelep VDC, ",27.7276,88.0446
"Zunheboto, Nagaland, India",26.0101,94.5282
"Kamrup, and Sonitpur, Assam",26.3333,91.25
Hakha in Zayhuang Ward,22.65620215,93.61589869
"Borsorsa(?), West Khasi Hills, Meghalaya",25.4916,91.2698
Mawbah under Mawprem area,25.5772,91.8666
"Ukhrul, Manipur",25.0985,94.3619
"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",27.0875,88.4572
"Sreemangal upazila, Moulvibazer.",24.3083,91.7333
"Silchar, Assam, India",24.768609,92.821182
"many locations around Namchi, Sikkim",27.167,88.3652
